,KNNraw_rb,KNNnorm_curve
PM7.1176,0.936407964242178,0.8427468508736287
PM7.1191,0.8459622171476022,0.9819389661615113
PM7.1286,0.9291606016496846,0.9298884036875303
PM7.1294,0.9709655638082377,0.9194238127391402
PM7.1318,0.7161857990587273,0.8371188868426438
PM7.1319,0.9401271273323765,0.600779167521017
PM7.1339,0.9531905961376994,0.9179261125104954
PM7.1430,0.8884947905120816,0.897140323653292
PM7.1449,0.8345054945054945,0.649010989010989
PM7.1451,0.7653818530045488,0.6138376825472828
PM7.1593,0.5944224857268335,0.6798418972332015
PM7.1595,0.6038159371492705,0.7600448933782267
PM7.2014,0.9270683883309422,0.6511238641798183
PM7.2151,0.988581146744412,0.8542274052478134
PM7.2155,0.9715878916622411,0.9038767923526287
PM7.2203,0.9440865163368615,0.9535204786010124
PM7.2295,0.9551397077672392,0.885670340938221
PM7.2302,0.7062528115159694,0.7908232118758435
PM7.2303,0.9046360797501801,0.5618544319000721
PM7.2601,0.9199494417526859,0.8807668000842638
PM7.2602,0.8288135593220339,0.7004237288135593
PM7.4382,0.8524547125229719,0.8054607508532423
PM7.4441,0.9733879222108496,0.9140225179119754
PM7.4443,0.9172413793103448,0.9679802955665024
