,PrimerMix,Assay1,Assay2,Assay3,Assay4,Assay5,Assay6,Assay7,Distance1,MDistance1,Distance2,MDistance2,Distance3,MDistance3,Distance4,MDistance4,Distance5,MDistance5,Distance6,MDistance6,Distance7,MDistance7,Distance8,MDistance8,Distance9,MDistance9,Distance10,MDistance10,Distance11,MDistance11,Distance12,MDistance12,Distance13,MDistance13,Distance14,MDistance14,Distance15,MDistance15,Distance16,MDistance16,Distance17,MDistance17,Distance18,MDistance18,Distance19,MDistance19,Distance20,MDistance20,Distance21,MDistance21,mean,min,mod_mean,mod_min
0,PM7.1176,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_01,COC_N_02,COV_N_03,MER_N_04,0.09095218611799903,25.84580114307295,0.2643788305435642,37.050720320167365,0.0761863620875861,18.669288480324713,0.012476882765813754,3.409245588184595,0.0593327976599551,14.678333514274886,0.1149390410246627,19.929694728373942,0.17342664442556516,25.786801217394025,0.014765824030412933,4.0226723469657895,0.07847530335218528,24.149732773660496,0.031619388458043934,8.705745339239819,0.023986854906663663,4.477634954862852,0.1881924684559781,25.82503275857177,0.25190194777775043,36.68782167663776,0.2050460328836091,28.287772535342924,0.1494397895189015,16.65327528271249,0.06370947932177234,16.715775263038864,0.016853564427631,4.0186650699861834,0.038752678937076596,6.547338691704264,0.04685591489414134,12.419722991025452,0.10246215825884894,18.63719276314943,0.0556062433647076,9.456509756599914,0.09806478062918422,0.012476882765813754,17.23689415215669,3.409245588184595
1,PM7.1191,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_02,COC_N_01,COV_N_01,MER_N_03,0.09095218611799903,25.84580114307295,0.2643788305435642,37.050720320167365,0.049655756682684,12.682663933573476,0.07649432557222845,22.771837011634982,0.13353437256293116,7.220939333965354,0.036711070636258905,10.860872445221952,0.17342664442556516,25.786801217394025,0.04129642943531503,11.781953413183315,0.014457860545770584,4.902673246353113,0.04258218644493211,2.3548875988565214,0.054241115481740126,18.263413482673176,0.2147230738608802,30.150880327493503,0.18788450497133574,28.616782096338312,0.13084445798063304,6.029967604878913,0.22766775990730528,34.5658502940496,0.026838568889544445,8.023032464014307,0.08387861588024714,4.539208881490416,0.012944686046425097,3.845548427409889,0.0570400469907027,3.1825760364825024,0.03978325493596954,14.157413337179984,0.09682330192667224,5.395991408538211,0.09791233570660497,0.012944686046425097,15.144276858284378,2.3548875988565214
2,PM7.1286,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,0.09095218611799903,25.84580114307295,0.2643788305435642,37.050720320167365,0.342140973755609,47.023912284193216,0.3956480620350595,31.30975237018049,0.13353437256293116,7.220939333965354,0.02439196117833846,6.584429952876221,0.17342664442556516,25.786801217394025,0.25118878763760993,36.5860164226401,0.30469587591706043,24.92117005760166,0.04258218644493211,2.3548875988565214,0.06656022493966057,20.204649929059343,0.07776214321204478,7.418448123719616,0.13126923149149528,8.285656889524974,0.13084445798063304,6.029967604878913,0.23998686936522573,34.72603441027741,0.0535070882794505,3.347697794438065,0.20860660119267782,9.55187606983571,0.3177490125772705,45.06333968245176,0.2621136894721283,9.63652725724387,0.371256100856721,29.911431160404295,0.10914241138459269,5.974536187425614,0.1900827481605033,0.02439196117833846,20.230218848105118,2.3548875988565214
3,PM7.1294,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_03,MER_N_02,0.09095218611799903,25.84580114307295,0.2643788305435642,37.050720320167365,0.342140973755609,47.023912284193216,0.3956480620350595,31.30975237018049,0.0593327976599551,14.678333514274886,0.02439196117833846,6.584429952876221,0.17342664442556516,25.786801217394025,0.25118878763760993,36.5860164226401,0.30469587591706043,24.92117005760166,0.031619388458043934,8.705745339239819,0.06656022493966057,20.204649929059343,0.07776214321204478,7.418448123719616,0.13126923149149528,8.285656889524974,0.2050460328836091,28.287772535342924,0.23998686936522573,34.72603441027741,0.0535070882794505,3.347697794438065,0.2828081760956539,38.27485779696049,0.3177490125772705,45.06333968245176,0.3363152643751044,26.378581374961982,0.371256100856721,29.911431160404295,0.03494083648161664,9.152869470770339,0.19309411848984082,0.02439196117833846,24.26400103759771,3.347697794438065
4,PM7.1318,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_02,0.09095218611799903,25.84580114307295,0.2723404015830875,46.003979677013376,0.0761863620875861,18.669288480324713,0.012476882765813754,3.409245588184595,0.0593327976599551,14.678333514274886,0.02439196117833846,6.584429952876221,0.18138821546508843,32.921358580462766,0.014765824030412933,4.0226723469657895,0.07847530335218528,24.149732773660496,0.031619388458043934,8.705745339239819,0.06656022493966057,20.204649929059343,0.19615403949550136,32.30707598368524,0.2598635188172737,45.990036041238845,0.21300760392313237,35.30758238928607,0.247948440404749,43.53637141874272,0.06370947932177234,16.715775263038864,0.016853564427631,4.0186650699861834,0.05179440090924764,13.431774812198395,0.04685591489414134,12.419722991025452,0.011915078412524704,3.4687369758304243,0.03494083648161664,9.152869470770339,0.09769202022503623,0.011915078412524704,20.07351655909226,3.409245588184595
5,PM7.1319,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_03,0.09095218611799903,25.84580114307295,0.2723404015830875,46.003979677013376,0.0761863620875861,18.669288480324713,0.012476882765813754,3.409245588184595,0.0593327976599551,14.678333514274886,0.036711070636258905,10.860872445221952,0.18138821546508843,32.921358580462766,0.014765824030412933,4.0226723469657895,0.07847530335218528,24.149732773660496,0.031619388458043934,8.705745339239819,0.054241115481740126,18.263413482673176,0.19615403949550136,32.30707598368524,0.2598635188172737,45.990036041238845,0.21300760392313237,35.30758238928607,0.23562933094682856,43.87202712073778,0.06370947932177234,16.715775263038864,0.016853564427631,4.0186650699861834,0.039475291451327194,11.17729031434601,0.04685591489414134,12.419722991025452,0.02423418787044515,7.790787195753572,0.022621727023696192,6.4761099387050045,0.09651877170523432,0.012476882765813754,20.171691222804647,3.409245588184595
6,PM7.1339,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_02,COC_N_01,COV_N_02,MER_N_03,0.09095218611799903,25.84580114307295,0.2723404015830875,46.003979677013376,0.049655756682684,12.682663933573476,0.07649432557222845,22.771837011634982,0.11720715931846025,8.098143116715068,0.036711070636258905,10.860872445221952,0.18138821546508843,32.921358580462766,0.04129642943531503,11.781953413183315,0.014457860545770584,4.902673246353113,0.026254973200461218,1.8669341598694629,0.054241115481740126,18.263413482673176,0.22268464490040346,37.70508514313015,0.19584607601085902,36.60759932460838,0.1551332422646272,9.422545035098755,0.23562933094682856,43.87202712073778,0.026838568889544445,8.023032464014307,0.06755140263577625,4.671810045014493,0.012944686046425097,3.845548427409889,0.0407128337462318,2.9282896139325962,0.03978325493596954,14.157413337179984,0.08049608868220134,5.781004420897754,0.09707712490942667,0.012944686046425097,17.286380244847514,1.8669341598694629
7,PM7.1430,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,0.09095218611799903,25.84580114307295,0.2723404015830875,46.003979677013376,0.342140973755609,47.023912284193216,0.3956480620350595,31.30975237018049,0.13353437256293116,7.220939333965354,0.02439196117833846,6.584429952876221,0.18138821546508843,32.921358580462766,0.25118878763760993,36.5860164226401,0.30469587591706043,24.92117005760166,0.04258218644493211,2.3548875988565214,0.06656022493966057,20.204649929059343,0.0698005721725215,7.532486205451753,0.123307660451972,8.429974665835353,0.13880602902015632,6.776522781007271,0.247948440404749,43.53637141874272,0.0535070882794505,3.347697794438065,0.20860660119267782,9.55187606983571,0.3177490125772705,45.06333968245176,0.2621136894721283,9.63652725724387,0.371256100856721,29.911431160404295,0.10914241138459269,5.974536187425614,0.1908409930214103,0.02439196117833846,21.463698122512305,2.3548875988565214
8,PM7.1449,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_01,0.09095218611799903,25.84580114307295,0.07694383091668554,12.038126078417047,0.0761863620875861,18.669288480324713,0.07649432557222845,22.771837011634982,0.0593327976599551,14.678333514274886,0.042370904020554864,13.994949537904452,0.014008355201313494,2.3419508635652106,0.014765824030412933,4.0226723469657895,0.014457860545770584,4.902673246353113,0.031619388458043934,8.705745339239819,0.04858128209744417,18.560916714572013,0.0007574688290994391,0.11576255437036503,0.00044950534445709067,0.0772130768601658,0.01761103325673044,2.7074482954344896,0.034572926896130673,6.297386438867507,0.00030796348464234846,0.08771932608033939,0.016853564427631,4.0186650699861834,0.033815458067031234,10.636453075559487,0.01716152791227335,4.942628380459432,0.03412342155167358,13.885257681220969,0.016961893639400233,5.400900204686381,0.034206089529383976,0.00030796348464234846,9.27151087523097,0.0772130768601658
9,PM7.1451,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_03,0.09095218611799903,25.84580114307295,0.07694383091668554,12.038126078417047,0.0761863620875861,18.669288480324713,0.07649432557222845,22.771837011634982,0.0593327976599551,14.678333514274886,0.036711070636258905,10.860872445221952,0.014008355201313494,2.3419508635652106,0.014765824030412933,4.0226723469657895,0.014457860545770584,4.902673246353113,0.031619388458043934,8.705745339239819,0.054241115481740126,18.263413482673176,0.0007574688290994391,0.11576255437036503,0.00044950534445709067,0.0772130768601658,0.01761103325673044,2.7074482954344896,0.04023276028042663,6.886129018890193,0.00030796348464234846,0.08771932608033939,0.016853564427631,4.0186650699861834,0.039475291451327194,11.17729031434601,0.01716152791227335,4.942628380459432,0.03978325493596954,14.157413337179984,0.022621727023696192,6.4761099387050045,0.03528415303115463,0.00030796348464234846,9.226052060193135,0.0772130768601658
