,PrimerMix,Assay1,Assay2,Assay3,Assay4,Assay5,Assay6,Assay7,Distance1,MDistance1,Distance2,MDistance2,Distance3,MDistance3,Distance4,MDistance4,Distance5,MDistance5,Distance6,MDistance6,Distance7,MDistance7,Distance8,MDistance8,Distance9,MDistance9,Distance10,MDistance10,Distance11,MDistance11,Distance12,MDistance12,Distance13,MDistance13,Distance14,MDistance14,Distance15,MDistance15,Distance16,MDistance16,Distance17,MDistance17,Distance18,MDistance18,Distance19,MDistance19,Distance20,MDistance20,Distance21,MDistance21,mean,min,mod_mean,mod_min
0,PM7.1176,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_01,COC_N_02,COV_N_03,MER_N_04,0.4894949161662069,21.432393617747326,0.9363531241193956,37.70309020304678,0.6695496404281039,30.272419780526647,0.19181851439520897,8.117872690005054,0.46764864941477036,20.46373362331406,0.8048527583170578,37.6323457089489,0.46091062775758546,20.443513513691126,0.2616224759841871,13.194510158764004,0.3598007146512067,16.860538816524244,0.07126322346920867,3.465569275659944,0.36969316832081195,19.357780598748594,0.32195663674174346,14.75239436157531,0.8181899949524075,35.06172010701684,0.48437352885595136,21.47131120242578,0.21798387665642446,10.334023130818355,0.587408819624186,28.489725418054306,0.24753314831044443,12.475421463843833,0.13868237363259597,7.5467779704591145,0.3525413061534858,16.50988562466483,0.7142073840823616,35.911385416634616,0.36506701668361813,19.1020091190277,0.44433104279604585,0.07126322346920867,20.50468675245226,3.465569275659944
1,PM7.1191,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_02,COC_N_01,COV_N_01,MER_N_03,0.5223935644955143,29.05833925556835,0.9422578914083857,45.87457377079029,0.223620495032319,12.98470881802649,0.6324438959144331,37.94179893208571,0.9273493360531525,52.95208065378538,0.2133702273127774,12.656859517795496,0.4350433714400482,18.840471272959203,0.36896743076013827,18.660298697149386,0.22682552572686504,11.801650086953826,0.4890352843950996,24.37374930535704,0.5520871529556994,28.444766304804133,0.8005363999559083,35.84171866423247,0.36352103456545876,16.68884159148793,0.260099813180949,11.495371438405506,0.9822644256967334,44.70617450618581,0.5418035051763571,29.343392632404598,0.8361352153285957,43.30412408839018,0.18407298580626966,9.868001692506832,0.3005155431862204,16.02288112489289,0.720776447488321,39.820849934692845,1.0165987290423515,53.661436520280496,0.5495103940438856,0.18407298580626966,28.302004228988327,9.868001692506832
2,PM7.1286,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,0.4212390052687955,20.714172031553403,0.8847247427535639,37.89932588298397,1.1304597546517259,50.70137174361565,1.3768979550788647,63.657677104167654,0.7534092104626873,35.06017048892835,0.12175151474526522,6.560671893179606,0.4800708095442209,20.549776104986773,0.750366392343584,33.62802485372051,1.033556156162225,47.74590393410304,0.38375776154188773,17.843950490612546,0.5201675663581062,28.003532119954528,0.29357814916346325,11.593793233475278,0.6152080837791531,24.952366311164326,0.19812902837990856,8.082079170597986,0.9924347481609507,45.98147987680048,0.33088483419422077,14.015995975285781,0.38801099581089077,16.534346789972457,1.2443040372907679,60.59219302450747,0.653160688520389,28.647073556241388,1.4948818141162212,75.23687083966205,0.8671355731724705,43.95385531920832,0.7111489914999696,0.12175151474526522,32.950220511653406,6.560671893179606
3,PM7.1294,ADE_HEX_06,C22_N_01,CHK_N_02,CNL_N_04,COC_N_04,COV_N_03,MER_N_02,0.4263308326787962,20.29276202597414,0.9210934765483199,39.680872620970064,1.170368367588103,48.213238475079066,1.2663065534846885,53.50139113619301,0.37119395051696463,17.85650712718791,0.12620266822757586,6.386094594719178,0.5186615735610105,23.178581311454476,0.798793547063568,34.07958335167981,0.9040151857078104,39.59266404983268,0.09324328890473325,4.673420030026109,0.5129248424441525,27.101118767993565,0.30570884082723404,11.92191953318734,0.417490504032851,16.67532936104427,0.5629970969209552,25.411335415200877,1.0219774300146192,48.36651235776543,0.11370554082492643,4.356747686801669,0.8268220430622591,35.611779360785846,1.2812463242406564,57.734189624530764,0.927741022832873,41.02963198989454,1.3795152607048893,63.90789588209775,0.4689277040908658,25.069743496375892,0.6864412406798976,0.09324328890473325,30.697205628514023,4.356747686801669
4,PM7.1318,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_02,0.5127534059002582,21.042441218779445,0.8488279580454465,32.036595978633734,0.6971004048465834,29.35059273752691,0.12091923824690515,5.049341271029112,0.5061102089457189,20.756861573359345,0.10416435006874744,4.1741251872334155,0.34121284410792185,14.89194228201009,0.25109822842092205,12.450439284701527,0.4719959292790637,23.177347189192997,0.0815098947621351,3.9187827019109673,0.5124791920888037,23.9792438479789,0.24967955088425392,11.198495626854813,0.809261265595683,35.979116681428074,0.3609843416026268,15.744401564554051,0.8498723574935001,36.16512923649637,0.6857319791788185,34.72453357851954,0.21815914865713282,10.809038692087395,0.7226348910880049,34.81736644809247,0.47897702141497467,23.5026010539848,0.04489481495195968,2.1427738046010094,0.518514180835779,24.24437190540626,0.44699434316263054,0.04489481495195968,20.007406755446723,2.1427738046010094
5,PM7.1319,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_01,COC_N_02,COV_N_03,MER_N_03,0.5234573654461491,24.409834265944422,0.8256043477844676,34.8894515155967,0.5678224361567713,22.87405985637295,0.15723983431405825,7.174908200202023,0.48230627619971617,22.02381351386729,0.19558247512039337,9.339599344223338,0.3069321882332232,13.813178841779715,0.0921347250755965,3.940637570003668,0.42256399368197606,20.64102461335739,0.09097369459794231,4.447261900775433,0.5619005687972494,28.818352231031295,0.27629840430780805,10.793085944403133,0.7246492284990386,31.935598384386058,0.3603867963690927,15.893557973084208,0.8596297641721101,39.583408282237755,0.4834538693280843,20.269432402194052,0.09153150896606979,3.8401426623531827,0.6286592251810582,27.479555824978792,0.39860009371665317,19.047326952342864,0.15146942526619953,7.585333230612684,0.544836349209556,27.306271055432425,0.41647774144872446,0.09097369459794231,18.862182598341874,3.8401426623531827
6,PM7.1339,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_02,COC_N_01,COV_N_02,MER_N_03,0.5103421468220527,28.733036919833918,0.8479122859661612,41.74182719600897,0.2209447406196931,12.420083248902861,0.6006279464790582,36.682320462310905,0.5708884105680838,32.849175565283566,0.21427231163619073,13.226390133108248,0.34353997582235374,14.870921288974058,0.3670007199237661,17.835032966846935,0.1893820354741819,9.883219578064852,0.09750930099386726,4.835023733105158,0.5482835674991297,28.874402619739236,0.7011231362664812,30.31325366913389,0.31743932665542507,14.619297339431416,0.2975634797583056,13.097545184565178,0.879839693109609,40.84619409132989,0.5117504114461436,26.667863088417683,0.4443360720431793,22.00218722397064,0.1815964421437581,9.549479914448636,0.12294776818148709,6.5468978279215175,0.6890118279155617,39.14655462708407,0.6246588929262422,33.572735520382544,0.44195097582146337,0.09750930099386726,22.776830580898288,4.835023733105158
7,PM7.1430,ADE_HEX_06,C22_N_01,CHK_N_04,CNL_N_04,COC_N_04,COV_N_01,MER_N_02,0.4453816447303534,20.49925039821676,1.0734074729241718,44.37976798269846,1.2133037692162914,51.768513879122565,1.243134241340458,54.30277387568752,0.817717690964663,37.46292030908232,0.13748111829119108,6.93883031586794,0.6661463808244319,28.731271800840602,0.8194071968397955,36.52255933941521,0.8477658553004187,38.72634148777808,0.42567713821631387,20.439761485872022,0.5367375165888161,28.53189028420875,0.16483559468826942,6.62102483040492,0.18994501328001992,7.800190182709212,0.27194462972280553,11.678424465308163,1.1858800790599355,55.74845076532131,0.035880141655889736,1.5202442130120024,0.40743107374793536,18.07887640144339,1.330298435570626,64.82235809811935,0.43695294276158264,19.868854736915324,1.359869255423349,68.06914046321924,0.9333376306607158,49.35029088704606,0.6925016581813349,0.035880141655889736,31.993416009632817,1.5202442130120024
8,PM7.1449,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_01,0.6297187632432167,28.57185058462635,0.3671965113598976,17.05868425007912,0.6831042237958801,30.77595466078732,0.6502099764007524,28.53157746314284,0.538513200317852,24.887432219394565,0.4062026200486771,21.582523870944037,0.4000198137891279,17.94099782276388,0.07641626313592054,3.3272263299187186,0.074503282562563,3.162271154062784,0.107866219058121,4.813548546913108,0.22992226204267094,11.735622879042038,0.47079635685790805,20.968442968456333,0.44611137166988674,19.357673314275548,0.32443324266871937,14.818001276429019,0.2512753728017408,13.171307269655784,0.042939056952591835,1.8105323345911624,0.15813224514204915,7.0078290817534175,0.2813365917423799,14.246311728974174,0.12798827307835087,5.526697926844379,0.24859860511366882,12.221475648790022,0.13295962258328603,6.928606797975772,0.316583041636441,0.042939056952591835,14.687836577591446,1.8105323345911624
9,PM7.1451,ADE_HEX_06,C22_N_01,CHK_N_06,CNL_N_01,COC_N_01,COV_N_03,MER_N_03,0.6496753580851876,29.295980906875613,0.3586285777019332,17.30844366680688,0.6501084318875243,29.092966810016804,0.6326060415384653,25.380877944492628,0.5271306155176348,23.84294050340217,0.1539018802588725,8.019084734801943,0.42093392821601816,18.375763261002408,0.03467287831580552,1.4133129166421925,0.06230063690554746,2.2979270807515353,0.13559820517727997,5.581181064694502,0.6532454066459569,30.555319903921575,0.4293451857484812,18.60517679114406,0.42819324364218975,16.69026534669557,0.30859871290027757,13.511793567295383,0.28102710893505584,14.10587047368286,0.03413172261318452,1.2511031067263578,0.13210742096212583,5.399799502694992,0.6574037671817764,30.5077592336027,0.12360014486431183,4.570358406651034,0.6464945655499891,26.795084465145376,0.5290029043208887,24.822648596060002,0.37374793985564314,0.03413172261318452,16.54398372776698,1.2511031067263578
